FECHA,CLIENTES_AM,CLIENTES_PM,CLIENTES_TOTAL
01/05/2023,95,20,115
02/05/2023,92,18,110
03/05/2023,95,15,110
04/05/2023,98,28,126
05/05/2023,93,96,189
06/05/2023,125,95,220
07/05/2023,82,26,108
08/05/2023,95,20,115
09/05/2023,92,18,110
10/05/2023,95,15,110
11/05/2023,98,28,126
12/05/2023,93,96,189
13/05/2023,125,95,220
14/05/2023,82,26,108
15/05/2023,95,20,115
16/05/2023,92,18,110
17/05/2023,95,15,110
18/05/2023,98,28,126
19/05/2023,93,96,189
20/05/2023,125,95,220
21/05/2023,82,26,108
22/05/2023,95,20,115
23/05/2023,92,18,110
24/05/2023,95,15,110
25/05/2023,98,28,126
26/05/2023,93,96,189
27/05/2023,125,95,220
28/05/2023,82,26,108
29/05/2023,95,20,115
30/05/2023,92,18,110
31/05/2023,95,15,110
01/06/2023,100,35,135
02/06/2023,80,90,170
03/06/2023,125,125,250
04/06/2023,80,30,110
05/06/2023,95,30,125
06/06/2023,95,30,125
07/06/2023,100,40,140
08/06/2023,100,35,135
09/06/2023,80,90,170
10/06/2023,125,132,257
11/06/2023,80,30,110
12/06/2023,95,30,125
13/06/2023,95,30,125
14/06/2023,100,40,140
15/06/2023,100,41,141
16/06/2023,80,90,170
17/06/2023,125,125,250
18/06/2023,80,30,110
19/06/2023,95,30,125
20/06/2023,95,30,125
21/06/2023,100,40,140
22/06/2023,100,35,135
23/06/2023,80,90,170
24/06/2023,125,125,250
25/06/2023,80,30,110
26/06/2023,95,30,125
27/06/2023,95,30,125
28/06/2023,100,40,140
29/06/2023,100,35,135
30/06/2023,80,90,170
01/07/2023,95,100,195
02/07/2023,68,26,94
03/07/2023,70,35,105
04/07/2023,78,30,108
05/07/2023,80,28,108
06/07/2023,95,30,125
07/07/2023,70,95,165
08/07/2023,95,100,195
09/07/2023,68,26,94
10/07/2023,70,35,105
11/07/2023,78,30,108
12/07/2023,80,28,108
13/07/2023,95,30,125
14/07/2023,70,95,165
15/07/2023,95,100,195
16/07/2023,68,26,94
17/07/2023,70,35,105
18/07/2023,78,30,108
19/07/2023,80,28,108
20/07/2023,95,30,125
21/07/2023,70,95,165
22/07/2023,95,100,195
23/07/2023,68,26,94
24/07/2023,70,35,105
25/07/2023,78,30,108
26/07/2023,80,28,108
27/07/2023,95,30,125
28/07/2023,70,95,165
29/07/2023,95,100,195
30/07/2023,68,26,94
31/07/2023,70,35,105
01/08/2023,83,43,126
02/08/2023,115,11,126
03/08/2023,92,30,122
04/08/2023,82,49,131
05/08/2023,86,69,155
06/08/2023,41,12,53
07/08/2023,114,15,129
08/08/2023,83,43,126
09/08/2023,115,11,126
10/08/2023,92,30,122
11/08/2023,82,49,131
12/08/2023,86,69,155
13/08/2023,41,12,53
14/08/2023,114,15,129
15/08/2023,83,43,126
16/08/2023,115,11,126
17/08/2023,92,30,122
18/08/2023,82,49,131
19/08/2023,86,69,155
20/08/2023,41,12,53
21/08/2023,114,15,129
22/08/2023,83,43,126
23/08/2023,115,11,126
24/08/2023,92,30,122
25/08/2023,82,49,131
26/08/2023,86,69,155
27/08/2023,41,12,53
28/08/2023,114,15,129
29/08/2023,83,43,126
30/08/2023,115,11,126
31/08/2023,92,30,122
01/09/2023,70,100,170
02/09/2023,120,125,245
03/09/2023,85,30,115
04/09/2023,113,36,149
05/09/2023,103,37,140
06/09/2023,109,43,152
07/09/2023,118,49,167
08/09/2023,72,103,175
09/09/2023,124,129,253
10/09/2023,88,31,119
11/09/2023,114,36,150
12/09/2023,104,37,141
13/09/2023,110,44,154
14/09/2023,120,50,170
15/09/2023,73,104,177
16/09/2023,125,130,255
17/09/2023,88,31,119
18/09/2023,116,37,153
19/09/2023,105,38,143
20/09/2023,111,44,155
21/09/2023,121,50,171
22/09/2023,74,105,179
23/09/2023,126,131,257
24/09/2023,89,32,121
25/09/2023,117,37,154
26/09/2023,106,38,144
27/09/2023,112,45,157
28/09/2023,122,51,173
29/09/2023,74,106,180
30/09/2023,127,133,260
01/10/2023,99,42,141
02/10/2023,140,47,187
03/10/2023,135,40,175
04/10/2023,142,55,197
05/10/2023,135,46,181
06/10/2023,150,160,310
07/10/2023,185,140,325
08/10/2023,160,21,181
09/10/2023,155,40,195
10/10/2023,160,35,195
11/10/2023,150,60,210
12/10/2023,165,50,215
13/10/2023,170,146,316
14/10/2023,160,160,320
15/10/2023,161,21,182
16/10/2023,146,47,193
17/10/2023,155,40,195
18/10/2023,145,55,200
19/10/2023,160,46,206
20/10/2023,175,160,335
21/10/2023,168,140,308
22/10/2023,163,21,184
23/10/2023,145,40,185
24/10/2023,160,30,190
25/10/2023,140,65,205
26/10/2023,160,40,200
27/10/2023,175,160,335
28/10/2023,160,155,315
29/10/2023,164,25,189
30/10/2023,148,35,183
31/10/2023,148,30,178
