DÍA,FECHA,CLIENTES_AM,CLIENTES_PM,CLIENTES_TOTAL,VENTAS_AM,VENTAS_PM,VENTAS_TOTALES
MIÉRCOLES,2/01/2019,,,380,,,5324
JUEVES,3/01/2019,,,389,,,4983
VIERNES,4/01/2019,,,439,,,6165
SÁBADO,5/01/2019,,,280,,,5226
DOMINGO,6/01/2019,,,253,,,4594
LUNES,7/01/2019,,,259,,,4714
MARTES,8/01/2019,,,194,,,2551
MIÉRCOLES,9/01/2019,,,201,,,2868
JUEVES,10/01/2019,,,252,,,3507
VIERNES,11/01/2019,,,318,,,4822
SÁBADO,12/01/2019,,,528,,,10034
DOMINGO,13/01/2019,,,278,,,5186
LUNES,14/01/2019,,,202,,,2832
MARTES,15/01/2019,,,206,,,2762
MIÉRCOLES,16/01/2019,,,228,,,2836
JUEVES,17/01/2019,,,230,,,3295
VIERNES,18/01/2019,,,404,,,6311
SÁBADO,19/01/2019,,,522,,,10257
DOMINGO,20/01/2019,,,298,,,5191
LUNES,21/01/2019,,,203,,,2693
MARTES,22/01/2019,,,222,,,3185
MIÉRCOLES,23/01/2019,,,306,,,4541
JUEVES,24/01/2019,,,301,,,4397
VIERNES,25/01/2019,,,331,,,5163
SÁBADO,26/01/2019,,,569,,,10630
DOMINGO,27/01/2019,,,257,,,4871
LUNES,28/01/2019,,,204,,,2716
MARTES,29/01/2019,,,206,,,2826
MIÉRCOLES,30/01/2019,,,220,,,2971
JUEVES,31/01/2019,,,231,,,"3177,18"
VIERNES,1/02/2019,,,291,,,4419
SÁBADO,2/02/2019,,,466,,,9157
DOMINGO,3/02/2019,,,257,,,5088
LUNES,4/02/2019,,,164,,,2414
MARTES,5/02/2019,,,248,,,3484
MIÉRCOLES,6/02/2019,,,222,,,3086
JUEVES,7/02/2019,,,230,,,3062
VIERNES,8/02/2019,,,343,,,5289
SÁBADO,9/02/2019,,,493,,,9355
DOMINGO,10/02/2019,,,248,,,4824
LUNES,11/02/2019,,,193,,,2511
MARTES,12/02/2019,,,191,,,2661
MIÉRCOLES,13/02/2019,,,181,,,2807
JUEVES,14/02/2019,,,392,,,6032
VIERNES,15/02/2019,,,380,,,6235
SÁBADO,16/02/2019,,,492,,,9613
DOMINGO,17/02/2019,,,276,,,5460
LUNES,18/02/2019,,,235,,,3296
MARTES,19/02/2019,,,240,,,3247
MIÉRCOLES,20/02/2019,,,171,,,2201
JUEVES,21/02/2019,,,226,,,2937
VIERNES,22/02/2019,,,294,,,4538
SÁBADO,23/02/2019,,,483,,,9195
DOMINGO,24/02/2019,,,247,,,4708
LUNES,25/02/2019,,,253,,,3499
MARTES,26/02/2019,,,230,,,3206
MIÉRCOLES,27/02/2019,,,214,,,2883
JUEVES,28/02/2019,,,299,,,"3889,93"
VIERNES,1/03/2019,,,454,,,6507
SÁBADO,2/03/2019,,,449,,,8539
