DÍA,FECHA,CLIENTES_AM,CLIENTES_PM,CLIENTES_TOTAL
MIÉRCOLES,2/01/2019,,,380
JUEVES,3/01/2019,,,389
VIERNES,4/01/2019,,,439
SÁBADO,5/01/2019,,,280
DOMINGO,6/01/2019,,,253
LUNES,7/01/2019,,,259
MARTES,8/01/2019,,,194
MIÉRCOLES,9/01/2019,,,201
JUEVES,10/01/2019,,,252
VIERNES,11/01/2019,,,318
SÁBADO,12/01/2019,,,528
DOMINGO,13/01/2019,,,278
LUNES,14/01/2019,,,202
MARTES,15/01/2019,,,206
MIÉRCOLES,16/01/2019,,,228
JUEVES,17/01/2019,,,230
VIERNES,18/01/2019,,,404
SÁBADO,19/01/2019,,,522
DOMINGO,20/01/2019,,,298
LUNES,21/01/2019,,,203
MARTES,22/01/2019,,,222
MIÉRCOLES,23/01/2019,,,306
JUEVES,24/01/2019,,,301
VIERNES,25/01/2019,,,331
SÁBADO,26/01/2019,,,569
DOMINGO,27/01/2019,,,257
LUNES,28/01/2019,,,204
MARTES,29/01/2019,,,206
MIÉRCOLES,30/01/2019,,,220
JUEVES,31/01/2019,,,231
VIERNES,1/02/2019,,,291
SÁBADO,2/02/2019,,,466
DOMINGO,3/02/2019,,,257
LUNES,4/02/2019,,,164
MARTES,5/02/2019,,,248
MIÉRCOLES,6/02/2019,,,222
JUEVES,7/02/2019,,,230
VIERNES,8/02/2019,,,343
SÁBADO,9/02/2019,,,493
DOMINGO,10/02/2019,,,248
LUNES,11/02/2019,,,193
MARTES,12/02/2019,,,191
MIÉRCOLES,13/02/2019,,,181
JUEVES,14/02/2019,,,392
VIERNES,15/02/2019,,,380
SÁBADO,16/02/2019,,,492
DOMINGO,17/02/2019,,,276
LUNES,18/02/2019,,,235
MARTES,19/02/2019,,,240
MIÉRCOLES,20/02/2019,,,171
JUEVES,21/02/2019,,,226
VIERNES,22/02/2019,,,294
SÁBADO,23/02/2019,,,483
DOMINGO,24/02/2019,,,247
LUNES,25/02/2019,,,253
MARTES,26/02/2019,,,230
MIÉRCOLES,27/02/2019,,,214
JUEVES,28/02/2019,,,299
VIERNES,1/03/2019,,,454
SÁBADO,2/03/2019,,,449
DOMINGO,3/03/2019,,,260
LUNES,4/03/2019,,,293
MARTES,5/03/2019,,,237
MIÉRCOLES,6/03/2019,,,225
JUEVES,7/03/2019,,,239
VIERNES,8/03/2019,,,274
SÁBADO,9/03/2019,,,395
DOMINGO,10/03/2019,,,210
LUNES,11/03/2019,,,168
MARTES,12/03/2019,,,236
MIÉRCOLES,13/03/2019,,,183
JUEVES,14/03/2019,,,224
VIERNES,15/03/2019,,,284
SÁBADO,16/03/2019,,,475
DOMINGO,17/03/2019,,,280
LUNES,18/03/2019,,,244
MARTES,19/03/2019,,,255
MIÉRCOLES,20/03/2019,,,268
JUEVES,21/03/2019,,,241
VIERNES,22/03/2019,,,305
SÁBADO,23/03/2019,,,463
DOMINGO,24/03/2019,,,248
LUNES,25/03/2019,,,214
MARTES,26/03/2019,,,198
MIÉRCOLES,27/03/2019,,,189
JUEVES,28/03/2019,,,246
VIERNES,29/03/2019,,,373
SÁBADO,30/03/2019,,,473
DOMINGO,31/03/2019,,,230
LUNES,1/04/2019,,,151
MARTES,2/04/2019,,,174
MIÉRCOLES,3/04/2019,,,261
JUEVES,4/04/2019,,,214
VIERNES,5/04/2019,,,279
SÁBADO,6/04/2019,,,493
DOMINGO,7/04/2019,,,240
LUNES,8/04/2019,,,220
MARTES,9/04/2019,,,187
MIÉRCOLES,10/04/2019,,,297
JUEVES,11/04/2019,,,285
VIERNES,12/04/2019,,,269
SÁBADO,13/04/2019,,,434
DOMINGO,14/04/2019,,,248
LUNES,15/04/2019,,,257
MARTES,16/04/2019,,,248
MIÉRCOLES,17/04/2019,,,213
JUEVES,18/04/2019,,,246
VIERNES,19/04/2019,,,316
SÁBADO,20/04/2019,,,389
DOMINGO,21/04/2019,,,275
LUNES,22/04/2019,,,239
MARTES,23/04/2019,,,245
MIÉRCOLES,24/04/2019,,,244
JUEVES,25/04/2019,,,261
VIERNES,26/04/2019,,,310
